# L=12.000000 12.000000 18.000000 t=0.000000 blocks=1
# v=-24.33 -7.17 -24.33 0.10 -7.17 0.00 w=3.00 3.00 3.00 3.00 3.00 3.00 0.00 3.00 3.00 0.00
# a2=0.9 a3=1.0 Re=2.0 N=10 ks=20.537 kb=3.000 l0=0
# Rigid x(6.00 6.00 9.00) a(0.00 0.00 1.00) c(0.50 1.00 4.00 2.2000) s{torus}
# n=569 N=10 name=LIPID0
0.202873 5.620095 7.488008 -0.061538 0.003573 -0.280880  0 
0.576740 5.168893 7.466948 0.103447 0.099515 0.155861  0 
0.497504 4.994630 7.568328 0.144329 0.336081 0.226459  0 
0.401229 4.914936 7.866884 0.066992 -0.041199 -0.309005  0 
0.383099 4.708032 8.021112 -0.133514 -0.008895 0.296924  0 
0.656145 4.409888 7.914698 0.197559 -0.127238 -0.155990  0 
0.885216 4.209973 7.979626 -0.074924 0.109706 -0.324253  0 
1.460461 4.403559 7.633001 -0.089602 -0.206589 -0.434401  0 
1.198338 4.582360 7.000000 0.353966 0.239215 0.042598  1 
1.759231 5.208289 6.852191 0.201449 0.118515 0.008964  1 
8.369392 6.751892 8.199809 0.018581 -0.126642 0.262367  0 
8.809940 6.799680 8.610344 -0.060997 0.033404 0.124694  0 
8.513328 6.489456 8.494969 -0.354572 -0.175308 0.164390  0 
8.480134 6.781333 7.767520 -0.179456 0.286445 0.035835  0 
8.836638 6.095307 7.593371 0.011783 -0.097084 -0.258911  0 
8.763425 6.020150 7.439131 -0.225451 -0.024519 -0.170119  0 
8.612975 5.560433 7.324272 0.106484 -0.047668 0.588228  0 
8.494640 4.951963 7.177773 -0.105473 -0.002317 -0.120565  0 
8.210719 4.070892 7.000000 0.178780 0.405904 -0.315677  1 
7.627238 4.098885 6.942746 0.031935 0.037110 0.143014  1 
2.520859 1.267392 7.887994 0.378565 0.015087 0.061754  0 
2.354168 1.143533 8.143220 -0.353941 -0.133004 -0.038751  0 
1.974828 0.657630 7.862394 -0.062955 0.041940 -0.020400  0 
2.323845 0.895280 7.849233 -0.184991 0.340213 0.356819  0 
2.030021 1.293170 7.171899 0.095194 0.133429 -0.079304  0 
2.261062 1.047732 7.403023 0.059516 0.515046 0.092971  0 
2.323119 1.075128 7.308816 -0.180133 0.186498 0.257369  0 
2.386656 1.390622 7.011959 -0.131210 0.104074 -0.134475  0 
2.081487 1.377742 7.000000 0.212099 0.030558 -0.451145  1 
2.811361 1.890968 6.493623 -0.129493 0.121459 0.125640  1 
1.067276 1.228063 8.080928 -0.349788 -0.102934 0.035895  0 
1.348585 1.493614 7.760345 -0.008656 0.251684 -0.049434  0 
1.213710 1.508791 8.234656 -0.024203 0.012391 -0.158285  0 
1.287078 1.725021 8.205794 0.125841 -0.294942 -0.435813  0 
1.213766 1.836559 8.110917 0.365846 -0.394667 -0.125260  0 
0.785176 1.926566 7.790311 -0.117938 -0.104286 -0.150353  0 
1.208999 1.745293 7.396846 0.119017 -0.135765 0.066268  0 
1.189812 1.432845 7.567616 -0.121063 -0.275761 -0.095894  0 
1.286387 0.539072 7.000000 0.087729 -0.090208 0.314683  1 
0.541171 0.591146 6.729021 -0.405507 -0.144520 0.076358  1 
2.401739 2.841811 8.038690 -0.180451 -0.020869 -0.138230  0 
2.540246 2.709074 7.911704 -0.124493 0.164729 0.249961  0 
2.094669 3.115743 7.566388 -0.003660 0.216788 0.177216  0 
1.736260 2.916382 7.643507 -0.337013 -0.358763 -0.166745  0 
1.708307 2.695542 7.640419 0.093492 -0.221480 0.046089  0 
1.877879 2.320650 7.779654 0.132516 0.281254 -0.415903  0 
2.123032 2.873605 7.600468 0.209264 0.167443 0.006963  0 
2.138831 2.721767 7.233884 -0.173638 -0.126528 -0.331890  0 
2.170699 2.641957 7.000000 -0.241049 0.362208 0.004878  1 
2.033382 2.620872 6.951997 -0.278563 -0.039325 0.090437  1 
11.447717 0.269367 9.016876 0.302458 -0.292874 0.027424  0 
11.259285 0.451290 8.805013 -0.004304 0.223711 -0.295178  0 
11.207110 0.149851 8.566062 0.054467 0.243131 0.228308  0 
